,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,cost,review,menu_item,type,city
94,1,0,3.8,693,1,20,4674,1470,750,12043,5004,2,1
95,1,0,3.8,242,30,20,3132,1085,650,8563,5004,2,1
96,1,0,4.1,163,4,62,5117,682,500,10819,5004,2,1
97,1,0,4.2,191,4,62,2757,1632,250,6027,3922,2,1
98,1,0,3.5,32,1,62,2094,1482,150,13381,5004,2,1
99,1,0,2.5,247,1,20,3430,1152,500,10660,5004,2,1
100,1,1,4.1,2339,30,20,4980,1202,1500,7552,5004,2,1
101,1,0,4.1,337,30,62,3221,545,300,1799,5004,2,1
102,1,0,3.9,135,1,20,4647,1218,800,6065,5004,2,1
103,1,0,3.6,172,79,20,257,1192,700,7050,5004,2,1
104,1,0,3.6,105,1,20,3734,1674,700,3133,5004,2,1
105,1,0,4.2,504,1,13,5091,483,550,5044,5004,2,1
106,1,1,4.3,1129,30,20,3864,1005,1300,8943,5004,2,1
107,1,0,4.3,860,1,30,3103,787,500,7631,5004,2,1
108,1,0,3.8,412,30,20,2612,76,700,8256,5004,2,1
109,1,1,3.9,142,30,20,2955,1089,1000,9376,5004,2,1
110,1,0,3.6,143,30,20,3998,1550,750,1292,5004,2,1
111,1,0,4.4,181,30,9,3621,229,250,6022,5004,2,1
112,1,0,3.8,70,30,62,4699,1447,200,6416,5004,2,1
113,1,0,3.8,164,4,62,3906,1472,600,10604,5004,2,1
114,1,0,3.6,58,46,62,562,364,650,13285,5004,2,1
115,0,0,3.8,148,4,22,3507,1190,550,12788,5004,2,1
116,0,0,3.9,206,4,62,1005,1581,450,10232,5004,2,1
117,0,0,3.7,217,4,20,835,1277,450,9336,5004,2,1
118,0,0,3.8,148,4,62,4419,871,150,7467,5004,2,1
119,1,0,2.9,177,30,20,3967,1207,700,12348,5004,2,1
120,1,0,3.7,136,1,62,5030,1503,600,7295,5004,2,1
121,1,0,4.1,185,30,62,1961,1018,200,13382,5004,2,1
122,1,0,3.8,155,54,20,3686,1593,400,9030,5004,2,1
123,1,0,3.8,42,1,62,4249,1585,300,13101,2861,2,1
124,1,0,3.8,286,4,20,3263,1152,600,3251,5004,2,1
125,1,0,3.8,160,1,20,2775,1192,700,5193,5004,2,1
126,1,0,3.8,59,1,20,4665,1192,750,5752,5004,2,1
127,1,0,4.0,89,30,62,2021,1547,200,5188,5004,2,1
128,1,0,3.9,40,4,20,2705,1276,600,8946,5004,2,1
129,1,0,2.5,35,4,62,104,815,200,13916,5004,2,1
130,1,0,3.6,62,1,65,3571,981,600,5825,5004,2,1
131,1,0,4.1,139,30,20,4241,1273,550,7222,5004,2,1
132,1,0,3.7,237,1,62,962,1567,200,3879,3131,2,1
133,1,0,3.9,388,1,20,1012,297,650,6060,5004,2,1
134,1,0,3.9,128,46,20,2716,1564,500,6009,95,2,1
135,1,1,4.1,1875,30,20,1513,1155,1200,11971,5004,2,1
136,1,0,3.8,90,1,13,2147,330,650,1746,5004,2,1
137,1,0,4.2,179,1,29,5033,1461,600,11036,5004,2,1
138,1,0,4.3,275,4,62,2471,1543,100,11089,2671,2,1
139,1,0,3.7,323,30,20,3243,607,850,261,5004,2,1
140,1,0,4.3,322,30,20,5001,1543,400,10839,5004,2,1
141,1,0,2.6,157,30,13,1694,344,450,2763,5004,2,1
142,1,0,3.9,543,4,62,2421,1567,300,5428,2680,2,1
143,1,0,3.7,180,1,13,3799,494,500,3209,5004,2,1
144,1,0,4.2,444,4,62,4703,1543,100,2132,3858,2,1
145,1,0,3.9,134,30,62,3449,1643,400,3385,4141,2,1
146,1,0,3.8,577,30,20,5023,1417,900,550,5004,2,1
147,1,0,3.9,144,30,20,2653,1264,550,3029,5004,2,1
148,1,0,4.1,787,1,20,2902,592,800,7613,5004,2,1
149,1,0,3.6,84,1,62,1644,1585,250,3322,102,2,1
150,1,1,4.0,349,1,20,4548,1515,1200,5186,5004,2,1
151,1,0,3.7,248,46,62,4757,1323,400,13400,5004,2,1
152,1,0,4.1,216,4,13,3587,389,500,4825,5004,2,1
153,1,0,4.0,324,1,13,3821,460,700,2309,5004,2,1
154,1,0,2.6,231,46,62,10,1266,400,735,4397,2,1
155,1,0,3.4,102,79,20,4065,1587,400,10083,732,2,1
156,1,0,3.9,133,1,13,2906,439,800,336,5004,2,1
157,1,0,2.8,45,1,20,3721,1479,800,3922,5004,2,1
158,1,0,3.8,75,1,62,4444,834,200,2025,5004,2,1
159,1,0,4.0,53,63,29,2518,1109,600,11817,5004,2,1
160,1,1,4.2,815,30,20,413,1192,900,4744,5004,2,1
161,1,1,4.0,633,1,20,2276,1192,800,2949,5004,2,1
162,1,0,3.5,56,30,30,5066,954,400,600,5004,2,1
163,1,0,3.9,70,1,30,5043,844,400,8718,5004,2,1
164,1,0,3.9,91,30,13,2884,437,300,6587,5004,2,1
165,1,0,3.8,77,46,13,2090,399,650,9717,5004,2,1
166,1,0,3.8,210,46,20,740,1231,600,7576,5004,2,1
167,1,0,4.1,130,30,13,3860,471,650,3384,5004,2,1
168,1,0,4.1,30,30,9,2702,229,100,7368,5004,2,1
169,1,0,3.8,144,1,13,3569,531,700,2462,5004,2,1
170,1,0,3.7,133,30,20,4277,605,700,9135,5004,2,1
171,1,0,4.0,136,30,62,4959,1567,350,4325,1662,2,1
172,1,0,3.8,74,4,62,1651,1585,300,6821,5004,2,1
173,1,0,3.7,54,4,13,3597,357,600,8467,5004,2,1
174,1,0,3.4,58,4,13,2641,434,400,6586,5004,2,1
175,1,0,3.6,129,1,20,4546,1087,600,417,5004,2,1
176,1,0,3.5,41,75,44,3740,1471,400,12095,5004,2,1
177,1,0,4.1,176,4,20,448,67,800,11797,5004,2,1
178,1,0,3.7,47,30,66,390,842,400,11700,5004,2,1
179,1,1,3.7,36,30,20,5028,584,650,9787,5004,2,1
180,1,0,3.9,101,4,62,4702,1543,150,9375,5004,2,1
181,1,1,4.1,442,30,60,3722,690,1200,13214,5004,2,1
182,1,0,3.8,53,30,62,5097,949,250,1884,5004,2,1
183,1,0,4.0,232,30,62,2292,1557,400,888,5004,2,1
184,1,0,3.9,221,30,20,2664,519,700,9867,5004,2,1
185,1,1,4.1,1063,30,21,3608,983,1200,6557,5004,2,1
186,1,0,3.7,93,4,62,2793,1624,200,893,5004,2,1
187,1,0,3.9,233,30,20,1724,1003,800,8829,5004,2,1
188,1,0,3.9,211,30,20,4348,838,500,2274,5004,2,1
189,1,0,4.0,1778,30,62,1710,1440,200,1062,40,2,1
190,1,0,3.6,218,82,20,4976,1273,800,8663,5004,2,1
191,1,0,3.7,514,4,13,3840,456,600,3078,5004,2,1
192,1,1,4.0,866,30,20,2873,1292,900,10699,5004,2,1
193,1,0,3.2,96,46,62,3470,1152,400,182,5004,2,1
194,1,0,3.5,80,1,62,4135,1666,250,2202,5004,2,1
195,1,0,4.0,73,4,0,2638,192,300,11069,2993,2,1
196,1,0,3.9,84,30,69,1790,1117,400,9641,5004,2,1
197,1,0,3.5,88,1,62,1092,1588,350,258,5004,2,1
198,1,0,3.5,179,1,20,2258,1204,600,1548,5004,2,1
199,1,0,3.8,61,4,62,4666,1017,100,5418,5004,2,1
200,1,0,3.7,128,79,20,1925,1216,450,2634,5004,2,1
201,1,0,3.8,339,30,62,4067,1585,400,12372,729,2,1
202,1,0,4.1,449,4,62,2785,1624,100,5056,5004,2,1
203,1,0,4.1,210,30,32,1968,208,150,1666,5004,2,1
204,1,0,3.0,213,1,62,3133,1424,400,1113,5004,2,1
205,1,0,3.2,208,30,12,2205,1648,250,943,4058,2,1
206,1,0,3.8,70,1,62,2737,1543,100,12116,123,2,1
207,1,0,4.0,219,4,13,3798,453,600,5789,5004,2,1
208,1,0,3.7,59,1,62,3459,1447,200,672,5004,2,1
