,book_table,votes,location,rest_type,dish_liked,cuisines,cost,review,rate
129,0,35,4,62,104,815,200,13916,2.5
130,0,62,1,65,3571,981,600,5825,3.6
131,0,139,30,20,4241,1273,550,7222,4.1
132,0,237,1,62,962,1567,200,3879,3.7
133,0,388,1,20,1012,297,650,6060,3.9
134,0,128,46,20,2716,1564,500,6009,3.9
135,1,1875,30,20,1513,1155,1200,11971,4.1
136,0,90,1,13,2147,330,650,1746,3.8
137,0,179,1,29,5033,1461,600,11036,4.2
138,0,275,4,62,2471,1543,100,11089,4.3
139,0,323,30,20,3243,607,850,261,3.7
140,0,322,30,20,5001,1543,400,10839,4.3
141,0,157,30,13,1694,344,450,2763,2.6
142,0,543,4,62,2421,1567,300,5428,3.9
143,0,180,1,13,3799,494,500,3209,3.7
144,0,444,4,62,4703,1543,100,2132,4.2
145,0,134,30,62,3449,1643,400,3385,3.9
146,0,577,30,20,5023,1417,900,550,3.8
147,0,144,30,20,2653,1264,550,3029,3.9
148,0,787,1,20,2902,592,800,7613,4.1
149,0,84,1,62,1644,1585,250,3322,3.6
150,1,349,1,20,4548,1515,1200,5186,4.0
151,0,248,46,62,4757,1323,400,13400,3.7
152,0,216,4,13,3587,389,500,4825,4.1
153,0,324,1,13,3821,460,700,2309,4.0
154,0,231,46,62,10,1266,400,735,2.6
155,0,102,79,20,4065,1587,400,10083,3.4
156,0,133,1,13,2906,439,800,336,3.9
157,0,45,1,20,3721,1479,800,3922,2.8
158,0,75,1,62,4444,834,200,2025,3.8
159,0,53,63,29,2518,1109,600,11817,4.0
160,1,815,30,20,413,1192,900,4744,4.2
161,1,633,1,20,2276,1192,800,2949,4.0
162,0,56,30,30,5066,954,400,600,3.5
163,0,70,1,30,5043,844,400,8718,3.9
164,0,91,30,13,2884,437,300,6587,3.9
165,0,77,46,13,2090,399,650,9717,3.8
166,0,210,46,20,740,1231,600,7576,3.8
167,0,130,30,13,3860,471,650,3384,4.1
168,0,30,30,9,2702,229,100,7368,4.1
169,0,144,1,13,3569,531,700,2462,3.8
170,0,133,30,20,4277,605,700,9135,3.7
171,0,136,30,62,4959,1567,350,4325,4.0
172,0,74,4,62,1651,1585,300,6821,3.8
173,0,54,4,13,3597,357,600,8467,3.7
174,0,58,4,13,2641,434,400,6586,3.4
175,0,129,1,20,4546,1087,600,417,3.6
176,0,41,75,44,3740,1471,400,12095,3.5
177,0,176,4,20,448,67,800,11797,4.1
178,0,47,30,66,390,842,400,11700,3.7
179,1,36,30,20,5028,584,650,9787,3.7
180,0,101,4,62,4702,1543,150,9375,3.9
181,1,442,30,60,3722,690,1200,13214,4.1
182,0,53,30,62,5097,949,250,1884,3.8
183,0,232,30,62,2292,1557,400,888,4.0
184,0,221,30,20,2664,519,700,9867,3.9
185,1,1063,30,21,3608,983,1200,6557,4.1
186,0,93,4,62,2793,1624,200,893,3.7
187,0,233,30,20,1724,1003,800,8829,3.9
188,0,211,30,20,4348,838,500,2274,3.9
189,0,1778,30,62,1710,1440,200,1062,4.0
190,0,218,82,20,4976,1273,800,8663,3.6
191,0,514,4,13,3840,456,600,3078,3.7
192,1,866,30,20,2873,1292,900,10699,4.0
193,0,96,46,62,3470,1152,400,182,3.2
194,0,80,1,62,4135,1666,250,2202,3.5
195,0,73,4,0,2638,192,300,11069,4.0
196,0,84,30,69,1790,1117,400,9641,3.9
197,0,88,1,62,1092,1588,350,258,3.5
198,0,179,1,20,2258,1204,600,1548,3.5
199,0,61,4,62,4666,1017,100,5418,3.8
200,0,128,79,20,1925,1216,450,2634,3.7
201,0,339,30,62,4067,1585,400,12372,3.8
202,0,449,4,62,2785,1624,100,5056,4.1
203,0,210,30,32,1968,208,150,1666,4.1
204,0,213,1,62,3133,1424,400,1113,3.0
205,0,208,30,12,2205,1648,250,943,3.2
206,0,70,1,62,2737,1543,100,12116,3.8
207,0,219,4,13,3798,453,600,5789,4.0
208,0,59,1,62,3459,1447,200,672,3.7
209,0,124,46,20,285,290,750,3586,3.7
210,1,775,1,20,3573,1382,800,6332,4.1
211,1,2022,30,20,4970,1412,1000,8083,4.2
212,1,150,1,13,2857,460,600,426,4.2
213,0,232,4,20,3367,1192,750,7400,4.0
214,1,431,30,20,2144,1152,800,6884,3.5
215,1,2115,1,20,3847,1477,800,500,4.2
216,0,155,30,20,3675,1593,450,9191,3.8
217,1,666,30,21,38,49,1000,9637,4.1
218,0,240,4,13,2119,330,700,6170,3.9
219,0,918,1,16,1385,482,800,2108,3.8
220,0,465,30,20,781,1593,600,7438,4.0
221,1,970,30,54,1519,1309,1500,2749,4.1
222,0,128,1,62,2565,1192,300,13916,3.3
223,0,241,46,62,2948,1192,300,922,3.6
224,0,734,1,62,3413,1593,200,8707,4.3
225,0,130,30,62,295,1177,400,7027,3.8
226,0,261,30,13,4449,387,700,5075,4.2
227,0,191,46,62,257,1594,300,13911,4.0
228,0,364,4,20,2728,1562,550,8686,4.1
229,0,888,1,20,4642,1430,750,7974,3.9
230,0,750,4,20,1704,1273,500,9456,3.9
231,1,164,1,13,1703,378,500,5072,4.2
232,0,527,4,20,2700,1152,500,13353,3.8
233,0,345,1,30,2310,952,400,2086,4.3
234,0,356,1,69,1853,1112,150,11752,4.4
235,0,38,1,30,2109,945,150,2456,3.9
236,0,116,1,30,4434,955,400,5765,3.9
237,0,918,1,16,1385,482,800,2107,3.8
238,0,144,1,13,3569,531,700,2462,3.8
239,0,860,1,30,3103,787,500,7631,4.3
240,0,45,1,72,1757,173,400,13153,3.8
241,0,70,1,30,5043,844,400,8718,3.9
242,0,98,4,70,3073,1119,400,9288,4.0
243,0,219,4,13,3798,453,600,5789,4.0
244,0,73,4,0,2638,192,300,11069,4.0
245,0,97,4,20,2705,1593,400,4058,2.7
246,0,888,1,20,4642,1430,750,7974,3.9
247,1,349,1,20,4548,1515,1200,5186,4.0
248,0,287,1,62,3406,1152,350,9557,4.2
249,1,2556,1,22,1975,1464,600,12414,4.6
250,1,354,1,20,4688,149,800,8028,4.2
251,1,775,1,20,3573,1382,800,6329,4.1
252,1,2115,1,20,3847,1477,800,499,4.2
253,1,977,1,46,181,876,1300,7663,3.8
254,0,868,1,57,230,702,1200,12188,4.1
255,0,324,1,13,3821,460,700,2309,4.0
256,0,787,1,20,2902,592,800,7612,4.1
257,0,504,1,13,5091,483,550,5043,4.2
258,0,402,1,13,5092,330,500,9845,4.1
259,1,150,1,13,2857,460,600,426,4.2
260,1,164,1,13,1703,378,500,5070,4.2
261,0,244,1,20,3590,996,800,6266,4.2
262,0,771,1,20,3419,1585,450,4367,4.0
263,0,1647,1,20,3216,607,600,8333,4.2
264,1,808,1,20,4336,1192,850,7234,4.0
265,0,424,1,13,4387,381,450,1459,4.0
266,0,135,1,20,4647,1218,800,6064,3.9
267,0,918,1,16,1385,482,800,2106,3.8
268,0,90,1,13,2147,330,650,1746,3.8
269,0,519,1,20,4920,559,900,3205,3.9
270,0,105,1,20,3734,1674,700,3132,3.6
271,0,133,1,13,2906,439,800,336,3.9
272,0,144,1,13,3569,531,700,2461,3.8
273,0,93,1,13,923,454,300,5189,3.9
274,0,42,1,62,4249,1585,300,13101,3.8
275,0,247,1,20,3430,1152,500,10659,2.5
276,0,62,1,13,474,442,400,1461,3.0
277,0,160,1,20,2775,1192,700,5193,3.8
278,0,129,1,20,4546,1087,600,419,3.6
279,0,62,1,4,1260,1585,800,13916,3.3
280,0,283,1,20,288,1152,600,3671,2.6
281,0,59,1,20,4665,1192,750,5752,3.8
282,0,179,1,20,2258,1204,600,1548,3.5
283,0,62,1,62,2462,1557,150,8709,3.8
284,0,98,1,4,3363,1192,800,3636,3.0
285,0,128,1,20,813,602,850,4392,2.7
286,0,45,1,20,3721,1479,800,3922,2.8
287,0,41,75,44,3740,1471,400,12092,3.5
288,0,405,1,20,3880,1470,750,12151,3.7
289,0,388,1,20,1012,297,650,6060,3.9
290,0,651,1,62,2767,1543,100,12894,4.7
291,0,734,1,62,3413,1593,200,8707,4.3
292,0,1047,1,62,3583,976,450,10863,4.0
293,0,505,1,62,538,320,450,8281,3.8
294,0,264,1,62,2423,1543,200,9045,3.9
295,0,286,1,62,556,320,500,8819,3.9
296,0,343,1,62,2735,1543,100,5092,4.4
297,0,70,1,62,4764,819,500,9974,3.8
298,0,70,1,62,2737,1543,100,12114,3.8
299,0,237,1,62,962,1567,200,3879,3.7
300,0,201,1,62,2760,1593,300,11111,4.1
301,0,506,1,62,590,1328,500,395,2.8
302,0,520,1,62,5011,246,300,12981,4.1
303,0,88,1,62,2705,1583,300,5161,3.7
304,0,136,1,62,5030,1503,600,7295,3.7
305,0,88,1,62,2466,1543,250,8680,3.9
306,0,189,1,62,1636,1543,300,6892,3.8
307,0,39,1,62,2705,1559,350,1286,3.8
308,0,540,1,62,3305,1470,800,2358,3.9
309,0,71,1,62,5017,1412,250,991,3.6
310,0,88,1,62,1092,1588,350,259,3.5
311,0,87,1,62,2162,1472,600,4064,3.0
312,0,415,1,62,4232,1186,500,3875,4.2
313,0,128,1,62,2565,1192,300,13916,3.3
314,0,94,1,62,1647,1543,100,13263,4.1
315,0,65,1,62,3378,871,300,5403,3.7
316,0,52,1,62,4236,1543,300,8140,3.5
